A,B,EV
(-3.293629897490861e-17-6.42131665414901e-17j),(-1.0038383522645827e-15+1.252995582720422e-15j),(-1.1590027422465299+0.3135967877916381j)
(-7.585902372011676e-17-3.9698511658951095e-19j),(-5.903119936353978e-16-3.910410312405519e-15j),(-1.1590027422465121-0.3135967877916367j)
(-9.087061904802892e-17+1.1455913731112502e-16j),(6.927731926609975e-16+5.476166686011738e-16j),(-1.1552172142423178+1.2628992376491412j)
(-1.1599815523562452e-16+5.699814323232671e-17j),(1.341915480347316e-15+7.614273136797706e-16j),(-1.1552172142423167-1.2628992376491393j)
(-6.0694738947274416e-18+1.833461394843298e-18j),(6.697621448780892e-16+9.852126352499514e-16j),(-1.1458294772726216+0.2345770733148401j)
(-3.350505727091127e-17-3.271881686138456e-17j),(2.921369144069876e-15-6.2516583069853765e-15j),(-1.1458294772726214-0.23457707331483213j)
(1.2014248445532126e-16-3.827710578043733e-17j),(1.948558693051703e-15-1.4649710992203556e-15j),(-1.137568383720447-0.11353883792819197j)
(-7.92124187722401e-19+2.0100766611256728e-18j),(2.047248206900593e-15+3.499265284077586e-15j),(-1.1375683837204462+0.11353883792819497j)
(-1.0349107983112907e-16-3.119867959200776e-17j),(2.0626284940765843e-15+4.3353021866056854e-16j),(-1.1317852420159185-1.0430593788248634j)
(6.318882669492228e-17+5.774908737341576e-17j),(-1.642992839673633e-15-1.3696312860132473e-16j),(-1.1317852420159062+1.0430593788248523j)
(-1.1938633920862979e-17-7.387852167969452e-17j),(-1.320950373851845e-16+1.5786507262499983e-17j),(-1.1310449739463042+2.1237790007564454j)
(5.598819868274705e-17-1.1779761926052929e-17j),(3.376496322874752e-16-2.9405603273049265e-16j),(-1.1310449739462969-2.123779000756423j)
(1.1262507774076865e-16-8.990591945128801e-17j),(4.556952738293284e-15-6.623181585214223e-15j),(-1.1193843792265132+0.8675260563835855j)
(1.5701327225435176e-16+1.6831967571524162e-18j),(5.155658156283547e-15+2.8646550657098162e-15j),(-1.1193843792264933-0.8675260563835678j)
(6.665015491413516e-17+2.47895915178626e-17j),(-2.7760849202661203e-16-2.288884707403165e-17j),(-1.1159298589425364+1.8660764349221801j)
(2.959708864568171e-17-4.298864982360417e-17j),(3.0202472988871146e-16-4.277671895483664e-16j),(-1.115929858942527-1.8660764349221803j)
(2.5528213669940063e-17-8.262098594503417e-17j),(1.390426540503596e-16+1.7428528673184532e-16j),(-1.111778307603393-2.4393693854536185j)
(3.3424921764697404e-17+3.72436979012743e-17j),(1.599246623538991e-16+2.852415537720228e-16j),(-1.1117783076033856+2.4393693854536j)
(-0.001167682364399188+0.00024103888183668975j),(0.20317998614803584-0.03147475734440683j),(-1.1114695432396642-0.7998375600072012j)
(-0.0011676823643991855-0.0002410388818361023j),(0.20317998614801536+0.03147475734440664j),(-1.1114695432396418+0.7998375600071876j)
(9.011439649132901e-18-7.363446189558317e-17j),(-6.390262043985116e-16+5.392789896306896e-16j),(-1.0971816195369453+0.44444432449816434j)
(-4.777986916713157e-17-3.5080514776910316e-17j),(-9.13966857568173e-18+8.916670494356425e-16j),(-1.0971816195369337-0.4444443244981593j)
(2.961233746365468e-17-5.790014070638719e-17j),(-3.1741695010708274e-16+5.604156583057391e-17j),(-1.0956228190171975-2.174381520175087j)
(-4.392032840547035e-17+5.3364476345310305e-17j),(-2.3025911853007357e-17+9.097558315850085e-18j),(-1.0956228190171826+2.1743815201750674j)
(1.7587115490453777e-17-8.993305051549463e-18j),(2.3493399115453247e-16-2.4068447642241326e-15j),(-1.0872949719999723+0.25928513544023235j)
(-7.581226238100624e-18-8.661482839888939e-18j),(3.4523405832343126e-16-1.6172519242130845e-15j),(-1.0872949719999665-0.2592851354402294j)
(3.3009088848467914e-17+1.9958149999370787e-17j),(2.5096046882001613e-15-2.8008884829866545e-15j),(-1.0841376583419953-0.5369213990263858j)
(1.0545351815663495e-16+1.1079843543222981e-16j),(1.9964077472120883e-15-2.15824892491095e-15j),(-1.084137658341981+0.5369213990263816j)
(-4.8280333109051476e-17-5.420033622730356e-18j),(3.184201859895209e-17-6.954519424507564e-16j),(-1.0830923198842373+0.1611434321603891j)
(-2.4545320426697382e-17+1.2055696112515787e-17j),(7.430420620889729e-15-6.687127977119079e-16j),(-1.0830923198842246-0.16114343216038832j)
(-6.543465711598955e-17-4.986742753124583e-17j),(2.7576734622744294e-15-1.970795374952795e-15j),(-1.0769339658721688-0.375327089242259j)
(-7.122442067545837e-17-4.4821633517113885e-17j),(-8.06260642352586e-16-3.476206391985677e-16j),(-1.076933965872164+0.3753270892422574j)
(-1.1308663628931137e-16+6.92954810724195e-17j),(1.1514407241110633e-15-1.980871733689985e-16j),(-1.0556633192318168-0.39296079960920177j)
(-5.118940477862257e-17-4.993288099999747e-18j),(-1.4394940890607857e-15+6.617360391265924e-16j),(-1.0556633192318088+0.3929607996091982j)
(-3.042804191220648e-17+5.5050629963389926e-17j),(9.442436980299915e-16+2.9992193723823997e-16j),(-1.0477705354670144-0.6894903706304369j)
(-1.3174360914744567e-17+3.984276918379514e-17j),(5.38246294874063e-16-9.378735127101298e-16j),(-1.0477705354670033+0.689490370630429j)
(-3.9863311573353177e-17+2.451249574394185e-17j),(-4.3240210530710695e-16-4.026524948958145e-16j),(-1.0474715120987037-1.565826815894961j)
(8.638715871866e-18+1.5966278102356668e-16j),(-1.7718774091958732e-16+9.169309895773365e-17j),(-1.047471512098703+1.5658268158949538j)
(-3.8947123139274016e-17-8.593060032470487e-18j),(-3.095739885050252e-15+1.2600711990142467e-15j),(-1.0424129865720717+0.9357377329610763j)
(1.0290261096153621e-16+3.3331948567667767e-17j),(-1.5114060693520093e-15+3.137494457769404e-15j),(-1.0424129865720657-0.935737732961087j)
(-4.8275181488427376e-17-1.0414333777901265e-16j),(1.5599089945893404e-16-1.121370038411546e-16j),(-1.0364406638504384+2.0691405693710503j)
(-1.4608069345311242e-16+7.506877322588215e-17j),(-1.2996489825055865e-16-2.8963953229920285e-16j),(-1.0364406638504249-2.0691405693710334j)
(-3.111369192588044e-17+1.3109543083249373e-17j),(9.853703719972382e-17-4.1085639649166926e-16j),(-1.0343345492077916+1.9653441979779651j)
(1.9294329550723233e-17+9.764012161917636e-17j),(-9.884765402850037e-16-7.249771248545537e-16j),(-1.0343345492077907+0.914655802022029j)
(-3.1088052286494543e-16+7.569369970242886e-18j),(2.377097031423116e-16+1.2588358807407748e-16j),(-1.0343345492077856-0.9146558020220319j)
(6.126889701807676e-17+6.610967329935246e-17j),(-1.2342814258265478e-17+4.1072292384915845e-16j),(-1.0343345492077802-1.9653441979779565j)
(-6.828334818453213e-17-1.0944026909600947e-16j),(-8.042898484923095e-17-4.17305896507493e-16j),(-1.0300731954770401-0.7156613721040674j)
(-5.197267934233106e-18+1.3163171681025256e-16j),(1.9506226569601423e-15+2.6576761189895904e-15j),(-1.0300731954770324+0.7156613721040724j)
(1.7555744193757073e-17+7.727846838100986e-18j),(-1.9112295954972764e-15+1.0822573090946604e-16j),(-1.0294566416545776-1.002868492925711j)
(8.045138867164518e-17+4.117667019053445e-17j),(5.48756282825895e-16+1.5194597266111246e-15j),(-1.0294566416545619+1.0028684929257121j)
(-9.421809200260549e-17-4.0346689821854916e-17j),(-2.8579925096833702e-15-1.6628005761861131e-15j),(-1.0210562395037979+0.5436309742195964j)
(-3.868680671797891e-17+6.685899144350758e-17j),(-2.4423972307574165e-16+4.4739995517518784e-15j),(-1.0210562395037917-0.5436309742195972j)
